time,z,y,x
7.96813,-0.0960744,-0.311341,-0.015179
8.00034,0.166569,-0.407111,-0.46928
8.03633,0.618317,-0.731896,-0.432089
8.06802,0.0987631,-0.325513,0.0451802
8.10402,0.159468,-0.36617,-0.0574364
8.1361,-0.0286552,-0.368193,0.0944999
8.16805,-0.0220911,-0.505058,-0.00827482
8.20398,-0.604074,0.235292,0.872207
8.23617,0.629161,-1.2279,-1.33784
8.26796,-0.380482,-0.506576,0.0257857
8.30403,-0.642276,0.0883877,0.63459
8.33613,0.184147,-0.945095,-0.502193
8.3681,-0.0478721,-0.480081,-0.263428
8.40412,-0.00396592,-0.582435,-0.331737
8.436,-0.0204236,-0.288942,-0.0719209
8.46811,-0.0382582,-0.204584,0.050518
8.5043,0.000547524,-0.193813,-0.180808
8.53611,0.0806492,-0.272452,-0.121216
8.56795,0.0588834,-0.232817,-0.0651442
8.60389,-0.368021,0.168706,0.329329
8.63608,0.19116,-0.318142,-0.427871
8.66791,0.24508,-0.322697,-0.262582
8.70401,-0.21873,0.0745524,0.293123
8.73603,0.105671,-0.214861,-0.155376
8.76856,-0.326872,0.0899224,0.282506
8.80404,-0.0170354,0.247318,-0.160976
8.83613,-0.0520845,0.542974,0.118064
8.86802,-0.0363658,0.342929,-0.075179
8.90398,0.105909,0.154894,-0.0704801
8.9362,-0.0761212,0.365856,0.135481
8.96795,-0.342132,0.298205,0.388421
9.00402,0.051644,0.724215,0.109465
9.03613,-0.169837,0.336752,0.0772967
9.06793,-0.165741,0.204304,0.400539
9.104,0.325203,0.512998,0.0448302
9.13624,-0.261743,0.111158,0.0832017
9.16809,0.368093,-0.246234,-0.137968
9.20383,0.269702,-0.142532,0.107776
9.23599,-0.298776,-0.405721,0.0383268
9.26808,-0.538484,0.543907,0.612317
9.30396,-0.105348,0.919514,0.195822
9.40393,0.0349575,0.694942,0.006498
9.43597,0.246281,0.0766634,0.325053
9.46809,0.517404,0.301829,0.230963
9.50402,-0.327012,0.693617,0.381681
9.53646,-0.0678936,0.852263,0.143342
9.56808,-0.0926848,1.37011,0.380314
9.6361,-0.129058,-1.13527,0.322246
9.66799,0.195879,-0.583494,0.0788137
9.73605,0.495214,-0.010155,0.0706015
9.768,0.175419,0.176167,0.0936901
9.80415,-0.32456,0.651945,0.242617
9.83613,0.0773393,0.16271,0.290275
9.86797,-0.100923,0.85458,0.119315
9.90404,-0.192869,0.711291,0.241696
9.96904,-0.251555,-1.16193,-0.573232
10.0041,-0.330387,-0.926412,-0.0579522
10.0359,-0.365269,-0.727805,0.365836
10.0681,-0.164973,-0.989941,0.382552
10.104,-0.21013,-0.107951,0.363507
10.136,0.0951283,-0.257869,0.428269
10.168,0.232215,-0.303967,0.302894
10.2041,0.188948,0.0740882,0.0618565
10.2361,0.17043,-0.236657,-0.0157174
10.2681,0.369906,-0.220416,0.0154599
10.3041,0.381686,0.0156968,0.121009
10.3362,0.103687,0.0757976,0.10567
10.3679,0.301949,0.097012,0.0629538
10.436,0.171124,0.613187,-0.303082
10.4679,0.0640981,0.414105,-0.125208
10.5046,0.165566,0.186533,0.0206841
10.5359,0.319219,0.30862,-0.124058
10.5679,0.169421,0.19044,-0.462321
10.604,-0.0219354,0.0904409,-0.133487
10.636,-0.13657,-0.359445,-0.167352
10.668,0.163988,-0.373087,-0.169979
10.7041,0.107457,-0.0459811,-0.211028
10.7361,0.390633,-0.678894,0.176143
10.768,-0.139804,-0.423214,-0.061763
10.804,-0.0274969,-0.303956,-0.0343648
10.836,0.0411494,-0.222681,-0.243975
10.8679,-0.0783145,-0.210422,0.0353842
10.9039,-0.299206,-0.456748,0.125774
10.936,-0.126595,-0.418911,-0.158366
10.968,0.353468,-0.184105,0.0234883
11.004,0.252668,-0.447657,0.160109
11.036,0.0368884,-0.644003,-0.0595092
11.0679,0.194414,-0.468047,-0.183418
11.104,0.443962,-0.453477,0.430333
11.1361,-0.150497,-0.536556,0.182466
11.1679,0.194242,-1.52805,-0.160419
11.204,0.00809292,-0.308415,-0.189709
11.2363,-0.165054,-0.991803,0.173953
11.268,-0.278105,-0.737836,-0.1187
11.304,-0.0883982,-0.563683,-0.157794
11.3362,-0.0553467,-0.638015,-0.299369
11.3679,-0.18688,-0.437874,0.0804163
11.404,-0.108268,-0.385424,-0.261794
11.436,0.152136,-0.180013,-0.236753
11.4679,-0.0196702,-0.196949,-0.235168
11.504,-0.0522923,-0.266786,-0.195331
11.5366,-0.3355,-0.0410414,0.134579
11.5683,0.00338669,-0.155459,-0.190192
11.604,0.0974105,-0.0452568,-0.0402808
11.6359,-0.0106421,0.0171495,-0.160628
11.736,0.700854,-0.552577,-0.588907
11.768,-0.437964,0.100924,0.240052
11.836,-0.0392974,0.292582,-0.0115797
11.868,0.0432599,0.321145,0.217479
11.968,0.0100328,0.403887,0.0447164
12.004,-0.0234669,0.103102,0.113865
12.036,-0.0492992,0.311435,-0.260933
12.068,-0.0632146,0.679398,-0.106672
12.1041,0.180684,0.536257,-0.14552
12.1361,-0.140373,0.597718,-0.0183211
12.168,-0.178424,-0.0203286,0.0237846
12.204,-0.15987,0.0904717,0.0203602
12.2361,-0.756064,-0.322583,0.773211
12.268,0.768573,1.52332,-1.04514
12.304,0.0530389,0.602322,-0.0368734
12.336,0.0656068,0.139871,-0.0743584
12.3679,0.256677,0.154095,-0.180784
12.4039,0.272177,0.035955,-0.171615
12.4361,0.148848,0.134962,-0.297995
12.4688,-0.118934,0.450139,-0.132293
12.5039,0.0287708,0.213162,-0.0275058
12.536,0.229111,0.930884,-0.346249
12.5679,-0.620294,-0.265776,0.508784
12.604,-0.061554,0.0029066,0.055506
12.636,-0.163297,0.0404486,0.0242465
12.6679,0.0175341,0.0518855,-0.0103854
12.704,-0.0608286,-0.146137,0.0797252
12.7376,-0.0343156,0.217974,-0.223044
12.7679,-0.115009,-0.275653,-0.0992192
12.804,-0.00221044,-0.243427,-0.161373
12.836,-0.0925783,0.0418005,-0.387075
12.8682,-0.197387,-0.34964,0.0285115
12.9039,-0.172324,-0.333851,-0.0559457
12.9359,0.14327,-0.611383,-0.239226
12.968,0.11763,-0.279514,-0.0182087
13.0041,-0.00149497,-0.213997,-0.0950995
13.0361,0.0843033,-0.544238,0.47917
13.068,0.0744201,-0.315787,0.198749
13.1047,-0.0126933,-0.542156,0.0834755
13.1364,-0.126671,-0.709772,0.588453
13.1679,0.669603,-0.54065,-0.712903
13.2039,0.137505,0.47874,-0.238313
13.2359,0.489362,0.13569,-0.681803
13.3683,0.221202,0.991203,0.0762322
13.404,0.1644,0.488135,0.0947948
13.4361,0.369945,0.550825,0.0260444
13.468,0.436335,0.481169,0.105379
13.5039,0.378468,0.138614,0.0720267
13.536,0.272909,0.304106,-0.0480665
13.5679,0.204319,0.896428,0.254556
13.6041,0.209207,0.716838,0.353792
13.636,0.252389,0.873559,-0.155623
13.6679,0.343685,0.654269,0.0289678
13.7039,0.230808,0.299492,0.314874
13.7358,0.257835,0.66853,0.107265
13.768,0.318305,0.636867,0.0309215
13.8054,0.0632117,0.595331,0.00045352
13.8361,-0.0538456,0.885847,0.0650786
13.8679,-0.0429822,1.02212,0.0476374
13.9047,0.173394,0.79072,-0.295269
13.936,0.221295,0.681029,-0.0725319
13.9681,-0.00352013,1.37389,-0.0790955
14.0043,0.147423,0.413851,-0.09134
